Day;Hour;Temperature
2024-10-23; 18:48:23;22.687500
2024-10-23; 18:48:24;22.562500
2024-10-23; 18:48:25;22.562500
2024-10-23; 18:48:26;22.562500
2024-10-23; 18:48:26;22.562500
2024-10-23; 18:48:27;22.562500
2024-10-23; 18:48:28;22.500000
2024-10-23; 18:48:29;22.562500
2024-10-23; 18:48:29;22.500000
2024-10-23; 18:48:30;22.562500
2024-10-23; 18:48:31;22.500000
2024-10-23; 18:48:31;22.500000
2024-10-23; 18:48:32;22.500000
2024-10-23; 18:48:33;22.500000
2024-10-23; 18:48:34;22.437500
2024-10-23; 18:48:34;22.437500
2024-10-23; 18:48:35;22.437500
2024-10-23; 18:48:36;22.437500
2024-10-23; 18:48:36;22.375000
2024-10-23; 18:48:37;22.375000
2024-10-23; 18:48:38;22.375000
2024-10-23; 18:48:38;22.375000
2024-10-23; 18:48:39;22.375000
2024-10-23; 18:48:40;22.375000
2024-10-23; 18:48:41;22.312500
2024-10-23; 18:48:41;22.375000
2024-10-23; 18:48:42;22.312500
2024-10-23; 18:48:43;22.375000
2024-10-23; 18:48:44;22.312500
2024-10-23; 18:48:44;22.312500
2024-10-23; 18:48:45;22.312500
2024-10-23; 18:48:46;22.250000
2024-10-23; 18:48:46;22.250000
2024-10-23; 18:48:47;22.187500
2024-10-23; 18:48:48;22.187500
2024-10-23; 18:48:48;22.250000
2024-10-23; 18:48:49;22.250000
2024-10-23; 18:48:50;22.187500
2024-10-23; 18:48:51;22.187500
2024-10-23; 18:48:51;22.187500
2024-10-23; 18:48:52;22.125000
2024-10-23; 18:48:53;22.187500
2024-10-23; 18:48:53;22.125000
2024-10-23; 18:48:54;22.125000
2024-10-23; 18:48:55;22.062500
2024-10-23; 18:48:55;22.062500
2024-10-23; 18:48:56;22.062500
2024-10-23; 18:48:57;22.062500
2024-10-23; 18:48:58;22.000000
2024-10-23; 18:48:58;22.062500
2024-10-23; 18:48:59;22.000000
2024-10-23; 18:49:00;22.000000
2024-10-23; 18:49:00;22.000000
2024-10-23; 18:49:01;22.000000
2024-10-23; 18:49:02;22.000000
2024-10-23; 18:49:03;22.000000
2024-10-23; 18:49:03;22.000000
2024-10-23; 18:49:04;21.937500
2024-10-23; 18:49:05;21.937500
2024-10-23; 18:49:06;21.937500
2024-10-23; 18:49:06;21.937500
2024-10-23; 18:49:07;21.875000
2024-10-23; 18:49:08;21.875000
2024-10-23; 18:49:09;21.875000
2024-10-23; 18:49:09;21.875000
2024-10-23; 18:49:10;21.875000
2024-10-23; 18:49:11;21.875000
2024-10-23; 18:49:11;21.812500
2024-10-23; 18:49:12;21.875000
2024-10-23; 18:49:13;21.812500
2024-10-23; 18:49:14;21.812500
2024-10-23; 18:49:14;21.812500
2024-10-23; 18:49:15;21.812500
2024-10-23; 18:49:16;21.750000
2024-10-23; 18:49:17;21.750000
2024-10-23; 18:49:17;21.750000
2024-10-23; 18:49:18;21.750000
2024-10-23; 18:49:19;21.750000
2024-10-23; 18:49:20;21.687500
2024-10-23; 18:49:20;21.687500
2024-10-23; 18:49:21;21.687500
2024-10-23; 18:49:22;21.625000
2024-10-23; 18:49:23;0.000000
2024-10-23; 18:49:23;21.625000
2024-10-23; 18:49:24;21.687500
2024-10-23; 18:49:25;21.625000
2024-10-23; 18:49:26;0.000000
2024-10-23; 18:49:26;21.562500
2024-10-23; 18:49:27;21.625000
2024-10-23; 18:49:28;21.625000
2024-10-23; 18:49:28;21.625000
2024-10-23; 18:49:29;21.625000
2024-10-23; 18:49:30;21.562500
2024-10-23; 18:49:31;21.562500
2024-10-23; 18:49:32;21.562500
2024-10-23; 18:49:32;21.562500
2024-10-23; 18:49:33;21.562500
2024-10-23; 18:49:34;21.562500
2024-10-23; 18:49:34;21.500000
2024-10-23; 18:49:35;21.562500
2024-10-23; 18:49:36;21.500000
2024-10-23; 18:49:37;21.500000
2024-10-23; 18:49:37;21.500000
2024-10-23; 18:49:38;21.500000
2024-10-23; 18:49:39;21.500000
2024-10-23; 18:49:40;21.500000
2024-10-23; 18:49:40;21.437500
2024-10-23; 18:49:41;21.500000
2024-10-23; 18:49:42;21.500000
2024-10-23; 18:49:43;21.437500
2024-10-23; 18:49:43;21.437500
2024-10-23; 18:49:44;21.437500
2024-10-23; 18:49:45;21.437500
2024-10-23; 18:49:45;21.437500
2024-10-23; 18:49:46;21.375000
2024-10-23; 18:49:47;21.437500
2024-10-23; 18:49:48;21.375000
2024-10-23; 18:49:48;21.375000
2024-10-23; 18:49:49;21.375000
2024-10-23; 18:49:50;21.375000
2024-10-23; 18:49:51;21.375000
2024-10-23; 18:49:51;21.375000
2024-10-23; 18:49:52;21.312500
2024-10-23; 18:49:53;21.312500
2024-10-23; 18:49:54;21.312500
2024-10-23; 18:49:54;21.312500
2024-10-23; 18:49:55;21.312500
2024-10-23; 18:49:56;21.312500
2024-10-23; 18:49:56;21.312500
2024-10-23; 18:49:57;21.312500
