Day;Hour;Wave;Wave Distance;Total Wave Distance;Speed;Max Speed
2024-10-23; 18:48:23; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:24; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:25; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:26; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:26; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:27; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:28; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:28; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:29; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:30; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:31; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:31; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:32; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:33; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:33; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:34; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:35; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:36; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:36; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:37; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:38; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:38; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:39; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:40; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:41; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:41; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:42; 0;0.000000;0.000000;1.085477;0.000000;
2024-10-23; 18:48:43; 0;0.000000;0.000000;1.214088;0.000000;
2024-10-23; 18:48:43; 0;0.000000;0.000000;1.214088;0.000000;
2024-10-23; 18:48:44; 0;0.000000;0.000000;1.214088;0.000000;
2024-10-23; 18:48:45; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:46; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:46; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:47; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:48; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:48; 0;0.000000;0.000000;2.567075;0.000000;
2024-10-23; 18:48:49; 0;0.000000;0.000000;2.567075;0.000000;
2024-10-23; 18:48:50; 1;0.000000;0.000000;3.132964;3.132964;
2024-10-23; 18:48:50; 1;0.000000;0.000000;3.132964;3.132964;
2024-10-23; 18:48:51; 1;0.000000;0.000000;3.565097;3.565097;
2024-10-23; 18:48:52; 1;0.000000;0.000000;3.565097;3.565097;
2024-10-23; 18:48:52; 1;0.000000;0.000000;3.019786;3.565097;
2024-10-23; 18:48:53; 1;0.000000;0.000000;3.019786;3.565097;
2024-10-23; 18:48:54; 1;0.000000;0.000000;3.081520;3.565097;
2024-10-23; 18:48:55; 1;0.000000;0.000000;3.081520;3.565097;
2024-10-23; 18:48:55; 1;0.000000;0.000000;2.937475;3.565097;
2024-10-23; 18:48:56; 1;0.000000;0.000000;2.335576;3.565097;
2024-10-23; 18:48:57; 1;0.000000;0.000000;2.335576;3.565097;
2024-10-23; 18:48:57; 1;0.000000;0.000000;1.352988;3.565097;
2024-10-23; 18:48:58; 2;23.851852;23.851852;1.352988;3.565097;
2024-10-23; 18:48:59; 2;0.000000;23.851852;0.262366;3.565097;
2024-10-23; 18:49:00; 2;0.000000;23.851852;0.262366;3.565097;
2024-10-23; 18:49:00; 2;0.000000;23.851852;0.000000;3.565097;
